flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
2109230858,216,False,2021-09-23T08:58:56.151,242.87458867762834,3336,B3.1,3.105225232502562e-07,B2,B4,B3,,,,,,2021-09-23T08:57:56.151,2021-09-23T09:01:32.152,431,247.0,99,49.0,91,67.0,863,799.0,495,431.0
2109230850,200,False,2021-09-23T08:50:20.151,242.87458867762834,3335,B3.9,3.867282885039458e-07,B2,B4,B3,,,,,,2021-09-23T08:49:08.150,2021-09-23T08:52:28.151,463,247.0,91,49.0,83,67.0,863,799.0,495,431.0
2109230840,344,False,2021-09-23T08:40:04.149,242.87458867762834,3334,B3.9,3.866611848479806e-07,B3,B5,B4,,,,,,2021-09-23T08:37:44.149,2021-09-23T08:43:28.150,543,247.0,91,49.0,83,67.0,927,799.0,543,431.0
2109230822,104,False,2021-09-23T08:22:52.148,242.87458867762834,3333,B2.8,2.848066742444644e-07,B2,B3,B3,,,,,,2021-09-23T08:22:00.148,2021-09-23T08:23:44.148,367,247.0,67,49.0,83,67.0,863,799.0,495,431.0
2109230803,412,False,2021-09-23T08:03:32.146,242.87458867762834,3332,B4.3,4.2553773482723045e-07,B3,B5,B4,,,,,,2021-09-23T08:00:52.145,2021-09-23T08:07:44.146,671,247.0,91,49.0,91,67.0,863,799.0,495,431.0
2109230734,68,False,2021-09-23T07:34:12.143,242.87458867762834,3331,B2.8,2.784167918434832e-07,B2,B2,B2,,,,,,2021-09-23T07:33:28.143,2021-09-23T07:34:36.143,303,247.0,67,49.0,83,67.0,863,799.0,495,431.0
2109230701,484,False,2021-09-23T07:01:28.139,242.87458867762834,3330,B3.4,3.4484443744986493e-07,B2,B3,B3,,,,,,2021-09-23T07:00:20.139,2021-09-23T07:08:24.140,367,247.0,75,49.0,83,67.0,863,799.0,495,431.0
2109230622,144,False,2021-09-23T06:22:52.137,242.87458867762834,3329,B3.2,3.2048941989160085e-07,B2,B3,B2,,,,,,2021-09-23T06:21:40.137,2021-09-23T06:24:04.137,335,247.0,67,49.0,75,67.0,863,799.0,495,431.0
2109230557,520,False,2021-09-23T05:57:24.133,242.87458867762834,3328,B3.9,3.9312777744271443e-07,B3,B5,B4,,,,,,2021-09-23T05:51:56.132,2021-09-23T06:00:36.135,543,247.0,115,49.0,123,67.0,927,799.0,495,431.0
2109230437,4152,False,2021-09-23T04:37:40.125,242.87458867762834,3327,B4.8,4.75177898806578e-07,M2,M5,M3,,,,,,2021-09-23T04:18:40.123,2021-09-23T05:27:52.130,507903,247.0,59391,49.0,5375,67.0,1215,799.0,543,431.0
